id,key,value,type
30223684,name,Thornbury,regular
30223684,operator,Public Transport Victoria - Metro,regular
30223684,public_transport,station,regular
30223684,railway,station,regular
30404320,highway,traffic_signals,regular
30947906,highway,traffic_signals,regular
33366758,created_by,JOSM,regular
34182456,created_by,JOSM,regular
35726485,created_by,JOSM,regular
35862458,created_by,JOSM,regular
36688980,created_by,JOSM,regular
36689033,created_by,JOSM,regular
41429110,created_by,JOSM,regular
46656636,created_by,JOSM,regular
52504539,highway,motorway_junction,regular
52504539,ref,3,regular
60653731,crossing,uncontrolled,regular
60653731,crossing_ref,zebra,regular
60653731,highway,crossing,regular
79398097,created_by,JOSM,regular
85305941,created_by,JOSM,regular
93333490,created_by,JOSM,regular
128874985,highway,traffic_signals,regular
130175887,bicycle,yes,regular
130175887,crossing,traffic_signals,regular
130175887,crossing_ref,toucan,regular
130175887,highway,crossing,regular
145235360,amenity,parking,regular
145235360,created_by,JOSM,regular
176729780,city,Melbourne,addr
176729780,housenumber,191,addr
176729780,postcode,3000,addr
176729780,street,Collins Street,addr
176729780,amenity,theatre,regular
176729780,name,Regent Theatre,regular
176729780,operator,Marriner Group,regular
176729780,website,http://www.marrinergroup.com.au/theatre-regent.php,regular
176729780,wikidata,Q7308110,regular
243185586,created_by,JOSM,regular
244118697,highway,traffic_signals,regular
244307212,created_by,JOSM,regular
244310929,created_by,JOSM,regular
244590491,created_by,JOSM,regular
244591121,created_by,JOSM,regular
245807352,barrier,bollard,regular
245807352,name,Gate 13,regular
248214933,amenity,toilets,regular
248214933,name,Public Toilets,regular
248746700,traffic_calming,table,regular
252344811,created_by,JOSM,regular
257520713,highway,turning_circle,regular
257529160,highway,traffic_signals,regular
259621599,highway,traffic_signals,regular
266286404,created_by,JOSM,regular
286387074,amenity,pub,regular
286387074,created_by,JOSM,regular
286387074,name,Great Northern Hotel,regular
286392331,created_by,JOSM,regular
287629356,created_by,JOSM,regular
287630798,created_by,JOSM,regular
291209939,amenity,bank,regular
291209939,atm,yes,regular
291209939,name,Commonwealth Bank,regular
291209939,website,www.commbank.com.au,regular
295809100,barrier,gate,regular
306073729,name,Parliament,regular
306073729,railway,subway_entrance,regular
307586499,amenity,telephone,regular
307586499,internet_access,wlan,regular
307586499,operator,Telstra,regular
307586499,wifi,yes,regular
308435378,created_by,Potlatch 0.10e,regular
308435378,leisure,playground,regular
310006665,power,tower,regular
310009635,power,tower,regular
311668920,crossing,traffic_signals,regular
311668920,highway,crossing,regular
319866039,crossing,traffic_signals,regular
319866039,highway,crossing,regular
324234180,amenity,telephone,regular
331163229,city,Carlton,addr
331163229,housenumber,225,addr
331163229,postcode,3053,addr
331163229,street,Drummond Street,addr
331163229,name,Travel Inn Hotel,regular
331163229,operator,Best Western,regular
331163229,phone,0393477922,regular
331163229,tourism,hotel,regular
331163229,website,http://www.thetravelinn.com.au,regular
333785285,housenumber,355,addr
333785285,postcode,3205,addr
333785285,street,Park Street,addr
333785285,amenity,pub,regular
333785285,name,Montague Hotel,regular
333785285,website,http://montaguehotel.com.au/,regular
344620461,amenity,place_of_worship,regular
344620461,denomination,anglican,regular
344620461,name,Christ Church Anglican Church,regular
344620461,religion,christian,regular
348740779,entrance,yes,regular
