id,user,uid,version,changeset,timestamp
4269131,wambacher,201359,10,35915670,2015-12-12T20:13:09Z
4749363,Canley,57437,10,13501123,2012-10-15T04:34:07Z
4826924,Pizza1016,838520,14,43940259,2016-11-25T09:38:47Z
4892913,matthewsheffield,347944,9,47505552,2017-04-06T12:26:30Z
4965719,matthewsheffield,347944,8,47505552,2017-04-06T12:26:32Z
5003779,Canley,57437,12,14471136,2012-12-30T22:38:19Z
5026860,matthewsheffield,347944,12,47505552,2017-04-06T12:26:35Z
5067101,matthewsheffield,347944,15,47505552,2017-04-06T12:26:37Z
5085594,Davio,217070,10,16482845,2013-06-09T14:33:27Z
5135006,Leon K,46482,15,36435627,2016-01-07T23:01:33Z
5234957,Leon K,46482,11,36793052,2016-01-25T10:39:26Z
5596328,woodpeck_fixbot,147510,3,10394551,2012-01-15T05:49:52Z
5865177,matthewsheffield,347944,5,47505552,2017-04-06T12:26:45Z
7144210,Robert Hutton,14185,4,105011,2008-08-06T04:05:11Z
8037595,goldfishxyz,168136,7,17946621,2013-09-20T20:44:33Z
8103583,Josh Parris,1894085,12,45767888,2017-02-03T05:23:19Z
8597261,woodpeck_fixbot,147510,9,10394821,2012-01-15T07:42:09Z
8597504,woodpeck_fixbot,147510,7,10394821,2012-01-15T07:43:11Z
8649411,matthewsheffield,347944,6,18513389,2013-10-24T04:30:08Z
8708528,woodpeck_fixbot,147510,5,10394821,2012-01-15T07:58:15Z
8715799,Josh Parris,1894085,18,21240967,2014-03-22T10:40:11Z
8738510,Josh Parris,1894085,12,20496714,2014-02-11T03:17:51Z
8930775,woodpeck_fixbot,147510,8,10395278,2012-01-15T08:06:37Z
8956936,OSMF Redaction Account,722137,9,12326864,2012-07-19T12:50:58Z
9116762,Canley,57437,7,20405680,2014-02-06T04:46:34Z
9132620,mikejw,1859900,11,19694116,2013-12-29T11:07:09Z
9141608,woodpeck_fixbot,147510,7,10395278,2012-01-15T08:16:37Z
9157946,Josh Parris,1894085,4,20311424,2014-02-01T04:52:29Z
9613511,AlexOnTheBus,79475,6,14695088,2013-01-18T11:24:36Z
9701894,RichRico,2219338,25,48210289,2017-04-27T22:04:20Z
9776021,Zulu99,320632,8,11504591,2012-05-05T06:48:46Z
9866313,OSMF Redaction Account,722137,12,12326864,2012-07-19T12:50:39Z
10201831,BlueMM,14779,5,317771,2008-03-13T10:26:26Z
10300662,Rhubarb,69319,11,12751273,2012-08-16T14:01:07Z
